2d7836a1-6301-408d-b2f5-c720ff6f6160,49,3,true,1,false,false,7,70209,B,43,4,70209,A,12,301157,334618,CLASS_B
50faaced-f25c-480f-b5c5-51c8ee42d9f9,20,2,false,0,false,false,2,58916,B,0,0,0,null,10,146597,162885,CLASS_A
3de0e5fe-7c26-4b0f-a70d-d5866b2432dd,23,1,false,0,false,false,2,61996,C,0,0,0,null,21,164435,182705,CLASS_A
27c8a329-86a4-469b-ac08-fd545ffc2cb0,58,8,true,0,false,false,15,77328,AAA,62,15,77328,A,10,328118,364575,CLASS_C
31e71f5a-f44c-483f-8846-e29f0fd978e3,47,4,false,0,false,false,15,78169,C,0,0,0,null,30,174998,194442,CLASS_A
0a2928c6-4223-440d-8d3f-9f0e1acd2020,31,6,false,1,true,true,8,83910,C,0,0,0,null,30,171871,190967,CLASS_A
8a51df27-25af-4454-80bf-dc9243dc941d,53,6,false,0,true,false,12,95501,B,0,0,0,null,30,205860,234089,CLASS_A
1a273d67-cf7d-4dbd-9ef6-a2424a01b4cf,49,7,false,0,false,false,11,83664,A,0,0,0,null,30,174216,193573,CLASS_A
0d921ccf-582e-48c7-a673-452982330838,31,6,false,0,false,false,9,78601,AA,0,0,0,null,30,180580,200644,CLASS_A
a4d76107-89f5-4235-a213-8bd000d8dd37,20,1,true,0,false,false,2,54066,C,18,2,54066,C,30,223217,250934,CLASS_A
400645cf-34e6-4195-acfb-97dde9292702,24,1,false,0,true,false,2,63572,C,0,0,0,null,10,148394,167328,CLASS_A
8ed792ff-cc00-40db-ad87-1f6ac9eaf9f6,32,4,false,0,false,false,11,74839,AA,0,0,0,null,30,167025,185583,CLASS_A
2e54633a-84a8-47ce-abc0-298a0046c41a,50,6,true,0,false,false,15,86701,AAA,47,9,75841,C,16,330633,367370,CLASS_B
20e02fd4-bcdd-47b4-ad21-2886a66b26db,55,4,true,0,true,false,15,103306,AAA,58,6,80281,C,10,371169,412409,CLASS_C
2d660ebb-2362-4cc0-b599-1907a59c6875,49,6,true,0,true,false,12,90854,A,43,4,87101,A,21,360816,400906,CLASS_B
dbb3902f-5219-4652-baca-bac74a1a0643,41,3,true,1,false,false,2,79715,AA,40,4,79715,B,10,317294,359574,CLASS_B
829e7a65-d823-421a-99c7-4ccc9ee68d75,45,3,true,1,false,false,15,75986,AAA,43,8,75986,AAA,16,318345,353716,CLASS_B
cf99099c-2bdd-4298-80ba-60cccf02fc35,52,6,true,0,true,false,10,84627,AAA,46,10,84627,B,18,351386,390428,CLASS_B
7a68d620-92df-4c79-b742-04a97c96f8f3,55,5,true,3,false,false,15,87752,A,52,10,72788,AAA,12,343530,381700,CLASS_B
